season,holiday,workingday,weathersit,temp,atemp,hum,windspeed,hr,day,mnth,yr,dayofweek,rush_hour
1,0,1,1,0.26,0.2273,0.37,0.4627,20,5,3,1,0,0
4,0,0,1,0.42,0.4242,0.32,0.2985,14,19,11,0,5,0
4,0,1,2,0.32,0.2879,0.53,0.3582,18,7,11,1,2,1
3,0,1,3,0.7,0.6667,0.84,0.1642,14,20,7,1,4,0
2,0,0,1,0.76,0.7121,0.58,0.2537,14,27,5,1,6,0
1,0,1,1,0.32,0.3333,0.93,0.0896,20,27,12,0,1,0
4,0,1,2,0.4,0.4091,0.87,0.0,12,17,12,1,0,0
1,0,1,2,0.26,0.2727,0.65,0.1045,4,14,2,1,1,0
4,0,1,1,0.44,0.4394,0.67,0.1343,2,16,10,1,1,0
3,1,0,1,0.66,0.6212,0.69,0.0,5,4,7,1,2,0
4,0,0,2,0.64,0.5758,0.83,0.0,9,25,9,0,6,1
1,0,0,2,0.36,0.3333,0.71,0.2537,11,2,1,0,6,0
2,0,1,1,0.26,0.2576,0.48,0.0,10,25,3,0,4,0
4,0,1,1,0.46,0.4545,0.82,0.2537,8,18,10,1,3,1
3,0,1,1,0.74,0.6667,0.45,0.0,22,13,7,1,4,0
1,0,1,1,0.3,0.3333,0.33,0.0,19,23,2,0,2,1
4,0,1,1,0.36,0.3485,0.5,0.1642,6,11,10,1,3,0
1,0,0,3,0.16,0.1818,0.86,0.1045,21,22,1,1,6,0
2,0,0,2,0.42,0.4242,0.41,0.1343,17,28,4,1,5,1
1,0,1,3,0.32,0.3333,0.81,0.1045,14,11,1,1,2,0
2,0,1,1,0.64,0.6212,0.57,0.1642,10,15,6,1,4,0
1,0,1,1,0.34,0.303,0.49,0.4179,13,21,2,1,1,0
3,0,0,1,0.66,0.6212,0.69,0.0,8,20,8,0,5,1
4,0,0,1,0.38,0.3939,0.76,0.194,19,6,11,0,6,1
2,0,0,3,0.16,0.1818,0.86,0.1343,6,27,3,0,6,0
2,0,1,1,0.56,0.5303,0.43,0.0896,14,7,4,0,3,0
2,0,0,2,0.24,0.2424,0.48,0.1642,11,27,3,0,6,0
3,0,1,2,0.52,0.5,0.48,0.1642,16,16,9,0,4,1
1,0,1,2,0.46,0.4545,0.82,0.194,5,13,3,1,1,0
1,0,1,1,0.38,0.3939,0.66,0.1642,5,18,3,0,4,0
2,0,0,1,0.22,0.2273,0.55,0.1343,9,27,3,0,6,1
4,0,1,2,0.36,0.3333,0.53,0.3582,11,11,12,1,1,0
4,0,0,2,0.26,0.303,0.75,0.0,5,15,12,1,5,0
1,0,0,1,0.22,0.2121,0.75,0.2537,6,12,3,0,5,0
1,0,1,3,0.24,0.2424,0.75,0.1642,2,21,1,0,4,0
1,0,1,1,0.48,0.4697,0.82,0.1045,2,22,12,0,3,0
4,0,1,1,0.4,0.4091,0.5,0.3881,17,19,12,1,2,1
4,0,1,1,0.26,0.2727,0.81,0.1045,6,25,11,0,4,0
4,0,0,3,0.5,0.4848,0.72,0.1343,19,30,9,1,6,1
1,0,0,1,0.28,0.2879,0.45,0.1343,17,24,12,0,5,1
3,0,1,1,0.7,0.6364,0.37,0.0,10,23,8,0,1,0
